Fecha;Hora;Muestra;Strain_compensado;Strain_bruto;Tension_V
22/9/2025;17:51:42;1;23.0276;23.0276;0.001672
22/9/2025;17:51:42;2;50.1188;50.1188;0.000766
22/9/2025;17:51:42;3;49.4415;49.4415;0.00107
22/9/2025;17:51:42;4;50.1188;50.1188;0.000758
22/9/2025;17:51:42;5;49.4415;49.4415;0.00075
22/9/2025;17:51:42;6;50.1188;50.1188;0.00075
22/9/2025;17:51:42;7;49.4415;49.4415;0.001063
22/9/2025;17:51:42;8;49.4415;49.4415;0.00107
22/9/2025;17:51:42;9;50.1188;50.1188;0.001063
22/9/2025;17:51:43;10;49.4415;49.4415;0.001055
22/9/2025;17:51:43;11;169.9976;169.9976;-0.000203
22/9/2025;17:51:43;12;142.9064;142.9064;-0.000203
22/9/2025;17:51:43;13;169.9976;169.9976;-0.000211
22/9/2025;17:51:43;14;169.9976;169.9976;-0.000211
22/9/2025;17:51:43;15;142.2291;142.2291;-0.000203
22/9/2025;17:51:43;16;142.9064;142.9064;-0.000203
22/9/2025;17:51:43;17;142.9064;142.9064;-0.000203
22/9/2025;17:51:43;18;142.2291;142.2291;-0.000195
22/9/2025;17:51:43;19;142.9064;142.9064;-0.000203
22/9/2025;17:51:44;20;142.2291;142.2291;-0.000203
22/9/2025;17:51:44;21;142.9064;142.9064;-0.000203
22/9/2025;17:51:44;22;-18.9639;-18.9639;0.000891
22/9/2025;17:51:44;23;-18.9639;-18.9639;0.000891
22/9/2025;17:51:44;24;-18.9639;-18.9639;0.000898
22/9/2025;17:51:44;25;-18.2866;-18.2866;0.000891
22/9/2025;17:51:44;26;-18.9639;-18.9639;0.000891
22/9/2025;17:51:44;27;-18.9639;-18.9639;0.000898
22/9/2025;17:51:44;28;-18.9639;-18.9639;0.000891
22/9/2025;17:51:44;29;-18.2866;-18.2866;0.000891
22/9/2025;17:51:45;30;-18.9639;-18.9639;0.000898
22/9/2025;17:51:45;31;-18.9639;-18.9639;0.000891
22/9/2025;17:51:45;32;-18.9639;-18.9639;0.000891
22/9/2025;17:51:45;33;-9.4819;-9.4819;0.00057
22/9/2025;17:51:45;34;-12.8683;-12.8683;0.00057
22/9/2025;17:51:45;35;-12.1911;-12.1911;0.000883
22/9/2025;17:51:45;36;-12.1911;-12.1911;0.000891
22/9/2025;17:51:45;37;-12.1911;-12.1911;0.000883
22/9/2025;17:51:45;38;-12.1911;-12.1911;0.000891
22/9/2025;17:51:45;39;-12.1911;-12.1911;0.000883
22/9/2025;17:51:46;40;-11.5138;-11.5138;0.000883
22/9/2025;17:51:46;41;-11.5138;-11.5138;0.000883
22/9/2025;17:51:46;42;-11.5138;-11.5138;0.000883
22/9/2025;17:51:46;43;-10.8365;-10.8365;0.000883
22/9/2025;17:51:46;44;16.932;16.932;0.000883
22/9/2025;17:51:46;45;107.6877;107.6877;-0.000102
22/9/2025;17:51:46;46;82.6283;82.6283;-0.000141
22/9/2025;17:51:46;47;110.3969;110.3969;-0.000133
22/9/2025;17:51:46;48;81.951;81.951;-0.000133
22/9/2025;17:51:47;49;109.7196;109.7196;-0.000141
22/9/2025;17:51:47;50;81.951;81.951;-0.000141
22/9/2025;17:51:47;51;109.0423;109.0423;-0.000141
22/9/2025;17:51:47;52;81.951;81.951;-0.000133
22/9/2025;17:51:53;53;-9.4819;-9.4819;0.000891
22/9/2025;17:51:53;54;-10.8365;-10.8365;0.000883
22/9/2025;17:51:53;55;-10.1592;-10.1592;0.000883
22/9/2025;17:51:53;56;80.5965;80.5965;-0.000125
22/9/2025;17:51:53;57;109.7196;109.7196;-0.000164
22/9/2025;17:51:53;58;82.6283;82.6283;-0.000164
22/9/2025;17:51:53;59;110.3969;110.3969;-0.000164
22/9/2025;17:51:53;60;82.6283;82.6283;-0.000164
22/9/2025;17:51:53;61;110.3969;110.3969;-0.000164
22/9/2025;17:51:54;62;82.6283;82.6283;-0.000164
22/9/2025;17:51:54;63;82.6283;82.6283;-0.000156
22/9/2025;17:51:54;64;82.6283;82.6283;-0.000156
22/9/2025;17:51:54;65;109.7196;109.7196;-0.000172
22/9/2025;17:51:54;66;82.6283;82.6283;-0.00018
22/9/2025;17:51:54;67;82.6283;82.6283;-0.000188
22/9/2025;17:51:54;68;-14.2229;-14.2229;0.000883
22/9/2025;17:51:56;69;-52.8618;-12.1911;0.00057
22/9/2025;17:51:57;70;35.5403;77.2101;0.000211
22/9/2025;17:51:57;71;37.5722;79.2419;0.000203
22/9/2025;17:51:57;72;37.5722;79.2419;0.000203
22/9/2025;17:51:57;73;37.5722;79.2419;0.000203
22/9/2025;17:51:57;74;37.5722;79.2419;-0.000117
22/9/2025;17:51:58;75;37.5722;79.2419;0.000203
22/9/2025;17:51:58;76;37.5722;79.2419;-0.000117
22/9/2025;17:51:58;77;65.3407;107.0104;-0.000117
22/9/2025;17:51:58;78;38.2495;79.9192;-0.000117
22/9/2025;17:51:58;79;34.8631;76.5328;0.000203
22/9/2025;17:51:58;80;36.8949;78.5646;0.000211
22/9/2025;17:51:58;81;36.8949;78.5646;-0.000102
22/9/2025;17:51:58;82;36.8949;78.5646;0.000211
22/9/2025;17:51:58;83;36.8949;78.5646;0.000211
22/9/2025;17:51:59;84;36.8949;78.5646;-0.000102
22/9/2025;17:51:59;85;37.5722;79.2419;-0.000109
22/9/2025;17:51:59;86;36.8949;78.5646;-0.000109
22/9/2025;17:51:59;87;36.8949;78.5646;0.000203
22/9/2025;17:51:59;88;37.5722;79.2419;-0.000117
22/9/2025;17:51:59;89;64.6634;106.3332;0.000203
22/9/2025;17:51:59;90;38.2495;79.9192;-0.000117
22/9/2025;17:51:59;91;-55.2154;-13.5456;0.000891
22/9/2025;17:51:59;92;-57.9245;-16.2548;0.000875
22/9/2025;17:51:59;93;-57.9245;-16.2548;0.000883
22/9/2025;17:52:00;94;-57.9245;-16.2548;0.000883
22/9/2025;17:52:00;95;-58.6018;-16.932;0.000883
22/9/2025;17:52:00;96;-57.9245;-16.2548;0.000883
22/9/2025;17:52:00;97;-58.6018;-16.932;0.000883
22/9/2025;17:52:00;98;-57.9245;-16.2548;0.000883
22/9/2025;17:52:00;99;-57.9245;-16.2548;0.000883
22/9/2025;17:52:00;100;-58.6018;-16.932;0.000883
22/9/2025;17:52:00;101;-58.6018;-16.932;0.000883
22/9/2025;17:52:00;102;7.7718;49.4415;0.001688
22/9/2025;17:52:00;103;7.7718;49.4415;0.000148
22/9/2025;17:52:01;104;7.7718;49.4415;0.000469
22/9/2025;17:52:01;105;7.7718;49.4415;0.000461
22/9/2025;17:52:01;106;7.7718;49.4415;0.000461
22/9/2025;17:52:05;107;-59.9563;-18.2866;0.000906
22/9/2025;17:52:05;108;-32.1878;9.4819;0.00125
22/9/2025;17:52:05;109;-31.5105;10.1592;0.00125
22/9/2025;17:52:05;110;-32.1878;9.4819;0.001258
22/9/2025;17:52:05;111;-32.1878;9.4819;0.001258
22/9/2025;17:52:05;112;-32.1878;9.4819;0.001266
22/9/2025;17:52:05;113;-32.1878;9.4819;0.001266
22/9/2025;17:52:05;114;-51.1517;-9.4819;0.000883
22/9/2025;17:52:05;115;-55.2154;-13.5456;0.000883
22/9/2025;17:52:06;116;-55.2154;-13.5456;0.000883
22/9/2025;17:52:06;117;-55.2154;-13.5456;0.000883
22/9/2025;17:52:06;118;-55.8926;-14.2229;0.000883
22/9/2025;17:52:06;119;-55.8926;-14.2229;0.000883
22/9/2025;17:52:06;120;-55.8926;-14.2229;0.000883
22/9/2025;17:52:06;121;-55.8926;-14.2229;0.000883
22/9/2025;17:52:06;122;-55.8926;-14.2229;0.000883
22/9/2025;17:52:06;123;-55.8926;-14.2229;0.000883
22/9/2025;17:52:06;124;-56.5699;-14.9002;0.000883
22/9/2025;17:52:06;125;-49.7971;-8.1274;0.00057
22/9/2025;17:52:07;126;-50.4744;-8.8047;0.000883
22/9/2025;17:52:07;127;-50.4744;-8.8047;0.000883
22/9/2025;17:52:07;128;-51.1517;-9.4819;0.000883
22/9/2025;17:52:07;129;-51.1517;-9.4819;0.000883
22/9/2025;17:52:07;130;-51.1517;-9.4819;0.000891
22/9/2025;17:52:07;131;-51.8289;-10.1592;0.000891
